"disorder1	disorder2	ngenes1	ngenes2	class1	class2	ngenescommon"
"Adrenal adenoma, sporadic	Angiofibroma, sporadic	1	1	Cancer	Endocrine	1"
"Adrenal adenoma, sporadic	Carcinoid tumor of lung	1	1	Cancer	Cancer	1"
"Adrenal adenoma, sporadic	Hyperparathyroidism, AD	1	1	Cancer	Endocrine	1"
"Adrenal adenoma, sporadic	Lipoma, sporadic	1	1	Cancer	Cancer	1"
"Adrenal adenoma, sporadic	Multiple endocrine neoplasia I	1	1	Cancer	Cancer	1"
"Adrenal adenoma, sporadic	Parathyroid adenoma, sporadic	1	1	Cancer	Cancer	1"
"Adrenal adenoma, sporadic	Prolactinoma, hyperparathyroidism, carcinoid syndrome	1	1	Cancer	Endocrine	1"
"Adrenal cortical carcinoma	Breast cancer	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Colorectal cancer	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Hepatocellular carcinoma	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Histiocytoma	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Li-Fraumeni syndrome	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Multiple malignancy syndrome	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Nasopharyngeal carcinoma	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Osteosarcoma	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Pancreatic cancer	3	3	Cancer	Cancer	3"
"Adrenal cortical carcinoma	Thyroid carcinoma	3	3	Cancer	Cancer	3"
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Aldosteronism, glucocorticoid-remediable	3	3	Endocrine	Endocrine	3"
"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency	3	3	Endocrine	Endocrine	3"
"Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750	Antley-Bixler syndrome	1	1	Endocrine	Unclassified	1"
"Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750	Disordered steroidogenesis, isolated	1	1	Endocrine	Metabolic	1"
"Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Dosage-sensitive sex reversal	4	4	Endocrine	Endocrine	4"
"Adrenocortical insufficiency without ovarian defect	Sex reversal, XY, with adrenal failure	3	3	Endocrine	Unclassified	3"
"Adrenocortical tumor, somatic	Carney complex, type 1	4	4	Cancer	multiple	4"
"Adrenocortical tumor, somatic	Myxoma, intracardiac	4	4	Cancer	Cardiovascular	4"
"Adrenocortical tumor, somatic	Pigmented adrenocortical disease, primary isolated	4	4	Cancer	Cancer	4"
"Adrenocortical tumor, somatic	Spastic paraplegia-7	4	4	Cancer	Neurological	1"
"Adrenocortical tumor, somatic	Thyroid carcinoma, papillary	4	4	Cancer	Cancer	4"
"Adrenoleukodystrophy	Adrenomyeloneuropathy	3	3	Neurological	Metabolic	3"
"Adrenoleukodystrophy	Megaloblastic anemia-1, Norwegian type	3	1	Neurological	Hematological	1"
"Adrenoleukodystrophy, neonatal	Adrenoleukodystrophy, neonatal	2	3	Neurological	Neurological	1"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	2	2	Neurological	multiple	2"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	2	3	Neurological	multiple	1"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	3	2	Neurological	multiple	1"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	3	3	Neurological	multiple	3"
"Adrenoleukodystrophy, neonatal	Refsum disease, infantile	2	2	Neurological	Neurological	2"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome-1	2	2	Neurological	multiple	2"
"Adrenoleukodystrophy, neonatal	Refsum disease, infantile form	1	1	Neurological	Neurological	1"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	1	1	Neurological	multiple	1"
"Adrenoleukodystrophy, neonatal	Zellweger syndrome	3	3	Neurological	multiple	3"
"Adrenomyeloneuropathy	Megaloblastic anemia-1, Norwegian type	3	1	Metabolic	Hematological	1"
"Adult i phenotype with congenital cataract	Adult i phenotype without cataract	1	1	Hematological	Hematological	1"
"Adult i phenotype with congenital cataract	Blood group, Ii	1	1	Hematological	Hematological	1"
"Adult i phenotype without cataract	Blood group, Ii	1	1	Hematological	Hematological	1"
"ADULT syndrome	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	7	7	multiple	Skeletal	7"
"ADULT syndrome	Hay-Wells syndrome	7	7	multiple	multiple	7"
"ADULT syndrome	Limb-mammary syndrome	7	7	multiple	multiple	7"
"ADULT syndrome	Rapp-Hodgkin syndrome	7	7	multiple	multiple	7"
"ADULT syndrome	Split-hand/foot malformation, type 4	7	7	multiple	Skeletal	7"
"Afibrinogenemia	Amyloidosis, hereditary renal	1	1	Hematological	Neurological	1"
"Afibrinogenemia	Dysfibrinogenemia, alpha type, causing bleeding diathesis	1	1	Hematological	Hematological	1"
"Afibrinogenemia	Dysfibrinogenemia, alpha type, causing recurrent thrombosis	1	1	Hematological	Hematological	1"
"Afibrinogenemia, congenital	Dysfibrinogenemia, beta type	1	1	Hematological	Hematological	1"
"Afibrinogenemia, congenital	Thrombophilia, dysfibrinogenemic	1	1	Hematological	Hematological	1"
"Agammaglobulinemia, type 1, X-linked	XLA and isolated growth hormone deficiency	5	5	Hematological	Immunological	5"
"AIDS, rapid progression to	Aplastic anemia	1	1	Immunological	Hematological	1"
"AIDS, rapid progression to	TSC2 angiomyolipomas, renal, modifier of	1	1	Immunological	multiple	1"
"AIDS, rapid progression to	Tuberculosis, susceptibility to	1	1	Immunological	Respiratory	1"
"Alagille syndrome	Deafness, congenital heart defects, and posterior embryotoxon	3	3	multiple	Ear,Nose,Throat	3"
"Alagille syndrome	Tetralogy of Fallot	3	3	multiple	Cardiovascular	3"
"Albinism, brown oculocutaneous,	Albinism, ocular, autosomal recessive	5	5	Dermatological	Dermatological	5"
"Albinism, brown oculocutaneous,	Albinism, oculocutaneous, type II	5	5	Dermatological	Dermatological	5"
"Albinism, brown oculocutaneous,	Blood group, P system	5	3	Dermatological	Hematological	1"
"Albinism, ocular, autosomal recessive	Albinism, oculocutaneous, type II	5	5	Dermatological	Dermatological	5"
"Albinism, ocular, autosomal recessive	Blood group, P system	5	3	Dermatological	Hematological	1"
"Albinism, oculocutaneous, type IA	Albinism, oculocutaneous, type IB	1	1	Dermatological	Dermatological	1"
"Albinism, oculocutaneous, type IA	Waardenburg syndrome/albinism, digenic	1	1	Dermatological	multiple	1"
"Albinism, oculocutaneous, type IB	Waardenburg syndrome/albinism, digenic	1	1	Dermatological	multiple	1"
"Albinism, oculocutaneous, type II	Blood group, P system	5	3	Dermatological	Hematological	1"
"Alcohol dependence, susceptibility to	Anorexia nervosa, susceptibility to	1	1	Unclassified	Nutritional	1"
"Alcohol dependence, susceptibility to	Obsessive-compulsive disorder, susceptibility to	1	1	Unclassified	Psychiatric	1"
"Alcohol dependence, susceptibility to	Schizophrenia, susceptibility to	1	1	Unclassified	Psychiatric	1"
"Alcohol dependence, susceptibility to	Seasonal affective disorder, susceptibility to	1	1	Unclassified	Psychiatric	1"
"Aldosterone to renin ratio raised	Hypoaldosteronism, congenital, due to CMO I deficiency	1	1	Endocrine	Metabolic	1"
"Aldosterone to renin ratio raised	Hypoaldosteronism, congenital, due to CMO II deficiency	1	1	Endocrine	Metabolic	1"
"Aldosterone to renin ratio raised	Low renin hypertension, susceptibility to	1	1	Endocrine	Cardiovascular	1"
"Alexander disease	Leigh syndrome	2	2	multiple	Neurological	2"
"Alexander disease	Mitochondrial complex I deficiency	2	2	multiple	multiple	2"
"Allergic rhinitis, susceptibility to	Asthma, susceptibility to	2	2	Immunological	Respiratory	2"
"Alopecia universalis	Atrichia with papular lesions	2	2	Dermatological	Dermatological	2"
"Alopecia universalis	Blood group, Auberger system	2	3	Dermatological	Hematological	1"
"Alopecia universalis	Blood group, Lutheran system	2	3	Dermatological	Hematological	1"
"Alpers syndrome	Progressive external ophthalmoplegia with mitochondrial DNA deletions	4	4	Neurological	Ophthamological	1"
"Alpers syndrome	Progressive external ophthalmoplegia with mitochondrial DNA deletions	4	4	Neurological	Ophthamological	4"
"Alpers syndrome	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	4	4	Neurological	Ophthamological	4"
"Alpha-1-antichymotrypsin deficiency	Cerebrovascular disease, occlusive	3	3	Respiratory	Unclassified	3"
"Alpha-actinin-3 deficiency	Elite sprint athletic performance	1	1	Muscular	Muscular	1"
"Alpha-thalassemia/mental retardation syndrome	Alpha-thalassemia myelodysplasia syndrome, somatic	5	5	Hematological	Hematological	5"
"Alpha-thalassemia/mental retardation syndrome	Chudley-Lowry syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia/mental retardation syndrome	Juberg-Marsidi syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia/mental retardation syndrome	Renpenning syndrome	5	7	Hematological	Neurological	2"
"Alpha-thalassemia/mental retardation syndrome	Smith-Fineman-Myers syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia/mental retardation syndrome	Sutherland-Haan syndrome-like	5	5	Hematological	multiple	5"
"Alpha-thalassemia myelodysplasia syndrome, somatic	Chudley-Lowry syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia myelodysplasia syndrome, somatic	Juberg-Marsidi syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia myelodysplasia syndrome, somatic	Renpenning syndrome	5	7	Hematological	Neurological	2"
"Alpha-thalassemia myelodysplasia syndrome, somatic	Smith-Fineman-Myers syndrome	5	5	Hematological	multiple	5"
"Alpha-thalassemia myelodysplasia syndrome, somatic	Sutherland-Haan syndrome-like	5	5	Hematological	multiple	5"
"Alport syndrome, autosomal recessive	Hematuria, familial benign	1	1	Renal	Renal	1"
"Alternating hemiplegia of childhood	Migraine, familial hemiplegic, 2	3	3	Neurological	Neurological	3"
"Alzheimer disease-1, APP-related	Amyloidosis, cerebroarterial, Dutch type	4	4	Neurological	Neurological	4"
"Alzheimer disease-1, APP-related	Schizophrenia, chronic	4	4	Neurological	Psychiatric	4"
"Alzheimer disease-2	Hyperlipoproteinemia, type III	2	2	Neurological	Metabolic	2"
"Alzheimer disease-2	Myocardial infarction susceptibility	2	2	Neurological	Cardiovascular	2"
"Alzheimer disease-2	Sea-blue histiocyte disease	2	2	Neurological	Hematological	2"
"Alzheimer disease, late-onset, susceptibility to	Coronary spasms, susceptibility to	1	1	Neurological	Cardiovascular	1"
"Alzheimer disease, late-onset, susceptibility to	Hypertension, pregnancy-induced	1	1	Neurological	Cardiovascular	1"
"Alzheimer disease, late-onset, susceptibility to	Hypertension, susceptibility to	1	1	Neurological	Cardiovascular	1"
"Alzheimer disease, late-onset, susceptibility to	Placental abruption	1	1	Neurological	Unclassified	1"
"Alzheimer disease, susceptibility to	Angiotensin I-converting enzyme, benign serum increase	3	3	Neurological	Endocrine	3"
"Alzheimer disease, susceptibility to	Diabetic nephropathy, susceptibility to	3	3	Neurological	Endocrine	3"
"Alzheimer disease, susceptibility to	Myocardial infarction, susceptibility to	3	3	Neurological	Cardiovascular	3"
"Alzheimer disease, susceptibility to	Renal tubular dysgenesis	3	3	Neurological	Renal	3"
"Alzheimer disease, susceptibility to	SARS, progression of	3	3	Neurological	Immunological	3"
"Alzheimer disease, susceptibility to	Myeloperoxidase deficiency	1	1	Neurological	Immunological	1"
"Alzheimer disease, type 3	Alzheimer disease, type 3, with spastic paraparesis and apraxia	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3	Dementia, frontotemporal	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3	Pick disease	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3, with spastic paraparesis and apraxia	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3, with spastic paraparesis and apraxia	Dementia, frontotemporal	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3, with spastic paraparesis and apraxia	Pick disease	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	Dementia, frontotemporal	2	2	Neurological	Neurological	2"
"Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	Pick disease	2	2	Neurological	Neurological	2"
"Amelogenesis imperfecta 2, hypoplastic local	Amelogenesis imperfecta, hypoplastic, and openbite malocclusion	1	1	Bone	Bone	1"
"Amelogenesis imperfecta 2, hypoplastic local	Hypoplastic enamel pitting, localized	1	1	Bone	Connective tissue	1"
"Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism	Trichodontoosseous syndrome	2	2	Bone	multiple	2"
"Amelogenesis imperfecta, hypoplastic, and openbite malocclusion	Hypoplastic enamel pitting, localized	1	1	Bone	Connective tissue	1"
"Amyloid neuropathy, familial, several allelic types	Amyloidosis, senile systemic	2	2	Neurological	Neurological	2"
"Amyloid neuropathy, familial, several allelic types	Carpal tunnel syndrome, familial	2	2	Neurological	Unclassified	2"
"Amyloid neuropathy, familial, several allelic types	Dystransthyretinemic hyperthyroxinemia	2	2	Neurological	Hematological	2"
"Amyloidosis, 3 or more types	ApoA-I and apoC-III deficiency, combined	1	1	Neurological	Metabolic	1"
"Amyloidosis, 3 or more types	Corneal clouding, autosomal recessive	1	1	Neurological	Ophthamological	1"
"Amyloidosis, 3 or more types	Hypertriglyceridemia, one form	1	1	Neurological	Metabolic	1"
"Amyloidosis, 3 or more types	Hypoalphalipoproteinemia	1	1	Neurological	Metabolic	1"
"Amyloidosis, cerebroarterial, Dutch type	Schizophrenia, chronic	4	4	Neurological	Psychiatric	4"
"Amyloidosis, hereditary renal	Dysfibrinogenemia, alpha type, causing bleeding diathesis	1	1	Neurological	Hematological	1"
"Amyloidosis, hereditary renal	Dysfibrinogenemia, alpha type, causing recurrent thrombosis	1	1	Neurological	Hematological	1"
"Amyloidosis, senile systemic	Carpal tunnel syndrome, familial	2	2	Neurological	Unclassified	2"
"Amyloidosis, senile systemic	Dystransthyretinemic hyperthyroxinemia	2	2	Neurological	Hematological	2"
"Amyotrophic lateral sclerosis 8	Spinal muscrular atrophy, late-onset, Finkel type	3	3	Neurological	Muscular	3"
"Amyotrophic lateral sclerosis, juvenile	Primary lateral sclerosis, juvenile	4	4	Neurological	Neurological	4"
"Amyotrophic lateral sclerosis, juvenile	Spastic paralysis, infantile onset ascending	4	4	Neurological	Neurological	4"
"Amyotrophic lateral sclerosis, susceptibility to	Lower motor neuron disease, progressive, without sensory symptoms	1	1	Neurological	Neurological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Butterfly dystrophy, retinal	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Foveomacular dystrophy, adult-onset, with choroidal neovascularization	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Macular dystrophy	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Macular dystrophy, vitelliform	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Retinitis pigmentosa-7	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Retinitis pigmentosa, digenic	1	6	Neurological	Ophthamological	1"
"Amyotrophic lateral sclerosis, susceptibility to	Retinitis punctata albescens	1	6	Neurological	Ophthamological	1"
"Analbuminemia	Dysalbuminemic hyperthyroxinemia	1	1	Hematological	Hematological	1"
"Analgesia from kappa-opioid receptor agonist, female-specific	Oculocutaneous albinism, type II, modifier of	1	1	Unclassified	Ophthamological	1"
"Analgesia from kappa-opioid receptor agonist, female-specific	Red hair/fair skin	1	1	Unclassified	Dermatological	1"
"Analgesia from kappa-opioid receptor agonist, female-specific	UV-induced skin damage, vulnerability to	1	1	Unclassified	Dermatological	1"
"Anderson disease	Chylomicron retention disease	3	3	Gastrointestinal	Gastrointestinal	3"
"Anderson disease	Chylomicron retention disease with Marinesco-Sjogren syndrome	3	3	Gastrointestinal	Gastrointestinal	3"
"Androgen insensitivity	Breast cancer, male, with Reifenstein syndrome	6	6	Endocrine	Cancer	6"
"Androgen insensitivity	Perineal hypospadias	6	6	Endocrine	Endocrine	6"
"Androgen insensitivity	Prostate cancer	6	6	Endocrine	Cancer	6"
"Androgen insensitivity	Prostate cancer, susceptibility to	6	6	Endocrine	Cancer	6"
"Androgen insensitivity	Spinal and bulbar muscular atrophy of Kennedy	6	6	Endocrine	Muscular	6"
"Anemia, hemolytic, Rh-null, regulator type	Rh-mod syndrome	2	2	Hematological	Hematological	2"
"Anemia, neonatal hemolytic, fatal and near-fatal	Elliptocytosis-3	1	1	Hematological	Hematological	1"
"Anemia, neonatal hemolytic, fatal and near-fatal	Spherocytosis-1	1	1	Hematological	Hematological	1"
"Aneurysm, familial arterial	Ehlers-Danlos syndrome, type III	1	1	Unclassified	Connective tissue	1"
"Aneurysm, familial arterial	Ehlers-Danlos syndrome, type IV	1	1	Unclassified	Connective tissue	1"
"Angelman syndrome	Autism, X-linked	5	5	Developmental	Psychiatric	5"
"Angelman syndrome	Mental retardation, X-linked	5	5	Developmental	Neurological	5"
"Angelman syndrome	Mental retardation, X-linked, with progressive spasticity	5	5	Developmental	Neurological	5"
"Angelman syndrome	PPM-X syndrome	5	5	Developmental	Neurological	5"
"Angelman syndrome	Rett syndrome	5	5	Developmental	Neurological	5"
"Angelman syndrome	Rett syndrome, preserved speech variant	5	5	Developmental	Neurological	5"
"Angiofibroma, sporadic	Carcinoid tumor of lung	1	1	Endocrine	Cancer	1"
"Angiofibroma, sporadic	Hyperparathyroidism, AD	1	1	Endocrine	Endocrine	1"
"Angiofibroma, sporadic	Lipoma, sporadic	1	1	Endocrine	Cancer	1"
"Angiofibroma, sporadic	Multiple endocrine neoplasia I	1	1	Endocrine	Cancer	1"
"Angiofibroma, sporadic	Parathyroid adenoma, sporadic	1	1	Endocrine	Cancer	1"
"Angiofibroma, sporadic	Prolactinoma, hyperparathyroidism, carcinoid syndrome	1	1	Endocrine	Endocrine	1"
"Angiotensin I-converting enzyme, benign serum increase	Diabetic nephropathy, susceptibility to	3	3	Endocrine	Endocrine	3"
"Angiotensin I-converting enzyme, benign serum increase	Myocardial infarction, susceptibility to	3	3	Endocrine	Cardiovascular	3"
"Angiotensin I-converting enzyme, benign serum increase	Renal tubular dysgenesis	3	3	Endocrine	Renal	3"
"Angiotensin I-converting enzyme, benign serum increase	SARS, progression of	3	3	Endocrine	Immunological	3"
"Anhaptoglobinemia	Hypohaptoglobinemia	1	1	Hematological	Hematological	1"
"Aniridia, type II	Cataract, congenital, with late-onset corneal dystrophy	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Coloboma, ocular	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Ectopia pupillae	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Eye anomalies, multiplex	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Foveal hypoplasia, isolated	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Keratitis	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Morning glory disc anomaly	3	3	Ophthamological	Skeletal	3"
"Aniridia, type II	Optic nerve hypoplasia/aplasia	3	3	Ophthamological	Ophthamological	3"
"Aniridia, type II	Peters anomaly	3	3	Ophthamological	Developmental	3"
"Ankylosing spoldylitis, susceptibility to	Stevens-Johnson syndrome, carbamazepine-induced, susceptibility to	1	1	Connective tissue	Dermatological	1"
"Anorexia nervosa, susceptibility to	Obsessive-compulsive disorder, susceptibility to	1	1	Nutritional	Psychiatric	1"
