disorder	class	gene
Achromatopsia-2	Ophthamological	CNGA3
Achromatopsia-2	Ophthamological	CNG3
Achromatopsia-2	Ophthamological	ACHM2
Achromatopsia-3	Ophthamological	CNGB3
Achromatopsia-3	Ophthamological	ACHM3
Achromatopsia-4	Ophthamological	GNAT2
Achromatopsia-4	Ophthamological	ACHM4
Acid-labile subunit, deficiency of	Endocrine	IGFALS
Acid-labile subunit, deficiency of	Endocrine	ALS
Acquired long QT syndrome, susceptibility to	Cardiovascular	KCNH2
Acquired long QT syndrome, susceptibility to	Cardiovascular	LQT2
Acquired long QT syndrome, susceptibility to	Cardiovascular	HERG
Acrocallosal syndrome	multiple	GLI3
Acrocallosal syndrome	multiple	PAPA
Acrocallosal syndrome	multiple	PAPB
Acrocallosal syndrome	multiple	ACLS
Acrocapitofemoral dysplasia	Skeletal	IHH
Acrocapitofemoral dysplasia	Skeletal	BDA1
Acrodermatitis enteropathica	Dermatological	SLC39A4
Acrodermatitis enteropathica	Dermatological	ZIP4
Acrokeratosis verruciformis	Dermatological	ATP2A2
Acrokeratosis verruciformis	Dermatological	ATP2B
Acrokeratosis verruciformis	Dermatological	DAR
Acromegaly	Endocrine	GNAS
Acromegaly	Endocrine	GNAS1
Acromegaly	Endocrine	GPSA
Acromegaly	Endocrine	POH
Acromegaly	Endocrine	PHP1B
Acromegaly	Endocrine	PHP1A
Acromegaly	Endocrine	AHO
Acromegaly	Endocrine	SSTR5
Acromesomelic dysplasia, Hunter-Thompson type	Skeletal	GDF5
Acromesomelic dysplasia, Hunter-Thompson type	Skeletal	CDMP1
Acromesomelic dysplasia, Maroteaux type	Skeletal	NPR2
Acromesomelic dysplasia, Maroteaux type	Skeletal	ANPRB
Acromesomelic dysplasia, Maroteaux type	Skeletal	AMDM
Acyl-CoA dehydrogenase, long chain, deficiency of	Metabolic	ACADL
Acyl-CoA dehydrogenase, long chain, deficiency of	Metabolic	LCAD
Acyl-CoA dehydrogenase, medium chain, deficiency of	Metabolic	ACADM
Acyl-CoA dehydrogenase, medium chain, deficiency of	Metabolic	MCAD
Acyl-CoA dehydrogenase, short-chain, deficiency of	Metabolic	ACADS
Acyl-CoA dehydrogenase, short-chain, deficiency of	Metabolic	SCAD
Adenocarcinoma of lung, response to tyrosine kinase inhibitor in	Cancer	EGFR
Adenocarcinoma of lung, somatic	Cancer	BRAF
Adenocarcinoma of lung, somatic	Cancer	ERBB2
Adenocarcinoma of lung, somatic	Cancer	NGL
Adenocarcinoma of lung, somatic	Cancer	NEU
Adenocarcinoma of lung, somatic	Cancer	HER2
Adenocarcinoma of lung, somatic	Cancer	PRKN
Adenocarcinoma of lung, somatic	Cancer	PARK2
Adenocarcinoma of lung, somatic	Cancer	PDJ
Adenocarcinoma, ovarian, somatic	Cancer	PRKN
Adenocarcinoma, ovarian, somatic	Cancer	PARK2
Adenocarcinoma, ovarian, somatic	Cancer	PDJ
Adenoma, periampullary	Cancer	APC
Adenoma, periampullary	Cancer	GS
Adenoma, periampullary	Cancer	FPC
Adenomas, multiple colorectal	Cancer	MUTYH
Adenomas, salivary gland pleomorphic	Cancer	PLAG1
Adenomas, salivary gland pleomorphic	Cancer	SGPA
Adenomas, salivary gland pleomorphic	Cancer	PSA
Adenomatous polyposis coli	Cancer	APC
Adenomatous polyposis coli	Cancer	GS
Adenomatous polyposis coli	Cancer	FPC
Adenomatous polyposis coli, attenuated	Cancer	APC
Adenomatous polyposis coli, attenuated	Cancer	GS
Adenomatous polyposis coli, attenuated	Cancer	FPC
Adenosine deaminase deficiency, partial	Immunological	ADA
Adenylosuccinase deficiency	Metabolic	ADSL
Adiponectin deficiency	Endocrine	APM1
Adiponectin deficiency	Endocrine	GBP28
Adrenal adenoma, sporadic	Cancer	MEN1
Adrenal cortical carcinoma	Cancer	TP53
Adrenal cortical carcinoma	Cancer	P53
Adrenal cortical carcinoma	Cancer	LFS1
Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Endocrine	CYP11B1
Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Endocrine	P450C11
Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	Endocrine	FHI
Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Endocrine	CYP21A2
Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Endocrine	CYP21
Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	Endocrine	CA21H
Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750	Endocrine	POR
Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Endocrine	DAX1
Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Endocrine	AHC
Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Endocrine	AHX
Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism	Endocrine	NROB1
Adrenocortical insufficiency without ovarian defect	Endocrine	FTZF1
Adrenocortical insufficiency without ovarian defect	Endocrine	FTZ1
Adrenocortical insufficiency without ovarian defect	Endocrine	SF1
Adrenocortical tumor, somatic	Cancer	PRKAR1A
Adrenocortical tumor, somatic	Cancer	TSE1
Adrenocortical tumor, somatic	Cancer	CNC1
Adrenocortical tumor, somatic	Cancer	CAR
Adrenocorticotropic hormone deficiency	Endocrine	TBS19
Adrenoleukodystrophy	Neurological	ABCD1
Adrenoleukodystrophy	Neurological	ALD
Adrenoleukodystrophy	Neurological	AMN
Adrenoleukodystrophy, neonatal	Neurological	PEX10
Adrenoleukodystrophy, neonatal	Neurological	NALD
Adrenoleukodystrophy, neonatal	Neurological	PEX13
Adrenoleukodystrophy, neonatal	Neurological	ZWS
Adrenoleukodystrophy, neonatal	Neurological	NALD
Adrenoleukodystrophy, neonatal	Neurological	PEX1
Adrenoleukodystrophy, neonatal	Neurological	ZWS1
Adrenoleukodystrophy, neonatal	Neurological	PEX26
Adrenoleukodystrophy, neonatal	Neurological	PXR1
Adrenoleukodystrophy, neonatal	Neurological	PEX5
Adrenoleukodystrophy, neonatal	Neurological	PTS1R
Adrenomyeloneuropathy	Metabolic	ABCD1
Adrenomyeloneuropathy	Metabolic	ALD
Adrenomyeloneuropathy	Metabolic	AMN
Adult i phenotype with congenital cataract	Hematological	GCNT2
Adult i phenotype without cataract	Hematological	GCNT2
ADULT syndrome	multiple	TP73L
ADULT syndrome	multiple	TP63
ADULT syndrome	multiple	KET
ADULT syndrome	multiple	EEC3
ADULT syndrome	multiple	SHFM4
ADULT syndrome	multiple	LMS
ADULT syndrome	multiple	RHS
Advanced sleep phase syndrome, familial	Neurological	PER2
Advanced sleep phase syndrome, familial	Neurological	FASPS
Advanced sleep phase syndrome, familial	Neurological	KIAA0347
Afibrinogenemia	Hematological	FGA
Afibrinogenemia, congenital	Hematological	FGB
Agammaglobulinemia	Hematological	IGHM
Agammaglobulinemia	Hematological	MU
Agammaglobulinemia, autosomal recessive	Hematological	IGLL1
Agammaglobulinemia, autosomal recessive	Hematological	IGO
Agammaglobulinemia, autosomal recessive	Hematological	IGL5
Agammaglobulinemia, autosomal recessive	Hematological	VPREB2
Agammaglobulinemia, non-Bruton type	Hematological	LRRC8
Agammaglobulinemia, non-Bruton type	Hematological	KIAA1437
Agammaglobulinemia, type 1, X-linked	Hematological	BTK
Agammaglobulinemia, type 1, X-linked	Hematological	AGMX1
Agammaglobulinemia, type 1, X-linked	Hematological	IMD1
Agammaglobulinemia, type 1, X-linked	Hematological	XLA
Agammaglobulinemia, type 1, X-linked	Hematological	AT
AGAT deficiency	Metabolic	GATM
AGAT deficiency	Metabolic	AGAT
Agenesis of the corpus callosum with peripheral neuropathy	Neurological	SLC12A6
Agenesis of the corpus callosum with peripheral neuropathy	Neurological	KCC3A
Agenesis of the corpus callosum with peripheral neuropathy	Neurological	KCC3B
Agenesis of the corpus callosum with peripheral neuropathy	Neurological	KCC3
Agenesis of the corpus callosum with peripheral neuropathy	Neurological	ACCPN
AICA-ribosiduria due to ATIC deficiency	Metabolic	ATIC
AICA-ribosiduria due to ATIC deficiency	Metabolic	PURH
AICA-ribosiduria due to ATIC deficiency	Metabolic	AICAR
AIDS, delayed/rapid progression to	Immunological	KIR3DL1
AIDS, delayed/rapid progression to	Immunological	NKAT3
AIDS, delayed/rapid progression to	Immunological	NKB1
AIDS, delayed/rapid progression to	Immunological	AMB11
AIDS, delayed/rapid progression to	Immunological	KIR3DS1
AIDS, rapid progression to	Immunological	IFNG
AIDS, resistance to	Immunological	CXCL12
AIDS, resistance to	Immunological	SDF1
Alagille syndrome	multiple	JAG1
Alagille syndrome	multiple	AGS
Alagille syndrome	multiple	AHD
Albinism, brown oculocutaneous,	Dermatological	OCA2
Albinism, brown oculocutaneous,	Dermatological	P
Albinism, brown oculocutaneous,	Dermatological	PED
Albinism, brown oculocutaneous,	Dermatological	D15S12
Albinism, brown oculocutaneous,	Dermatological	BOCA
Albinism, ocular, autosomal recessive	Dermatological	OCA2
Albinism, ocular, autosomal recessive	Dermatological	P
Albinism, ocular, autosomal recessive	Dermatological	PED
Albinism, ocular, autosomal recessive	Dermatological	D15S12
Albinism, ocular, autosomal recessive	Dermatological	BOCA
Albinism, oculocutaneous, type IA	Dermatological	TYR
Albinism, oculocutaneous, type IB	Dermatological	TYR
Albinism, oculocutaneous, type II	Dermatological	OCA2
Albinism, oculocutaneous, type II	Dermatological	P
Albinism, oculocutaneous, type II	Dermatological	PED
Albinism, oculocutaneous, type II	Dermatological	D15S12
Albinism, oculocutaneous, type II	Dermatological	BOCA
Albinism, rufous	Dermatological	TYRP1
Albinism, rufous	Dermatological	CAS2
Albinism, rufous	Dermatological	GP75
Alcohol dependence, susceptibility to	Unclassified	HTR2A
Alcohol intolerance, acute	Metabolic	ALDH2
Alcoholism, susceptibility to	Unclassified	GABRA2
Aldolase A deficiency	Metabolic	ALDOA
Aldosterone to renin ratio raised	Endocrine	CYP11B2
Aldosteronism, glucocorticoid-remediable	Endocrine	CYP11B1
Aldosteronism, glucocorticoid-remediable	Endocrine	P450C11
Aldosteronism, glucocorticoid-remediable	Endocrine	FHI
Alexander disease	multiple	GFAP
Alexander disease	multiple	NDUFV1
Alexander disease	multiple	UQOR1
Alkaptonuria	Metabolic	HGD
Alkaptonuria	Metabolic	AKU
Allan-Herndon-Dudley syndrome	Neurological	SLC16A2
Allan-Herndon-Dudley syndrome	Neurological	DXS128
Allan-Herndon-Dudley syndrome	Neurological	XPCT
Allergic rhinitis, susceptibility to	Immunological	IL13
Allergic rhinitis, susceptibility to	Immunological	ALRH
Alopecia universalis	Dermatological	HR
Alopecia universalis	Dermatological	AU
Alpers syndrome	Neurological	POLG
Alpers syndrome	Neurological	POLG1
Alpers syndrome	Neurological	POLGA
Alpers syndrome	Neurological	PEO
Alpha-1-antichymotrypsin deficiency	Respiratory	SERPINA3
Alpha-1-antichymotrypsin deficiency	Respiratory	AACT
Alpha-1-antichymotrypsin deficiency	Respiratory	ACT
Alpha-actinin-3 deficiency	Muscular	ACTN3
Alpha-methylacetoacetic aciduria	Metabolic	ACAT1
Alpha-methylacyl-CoA racemase deficiency	Metabolic	AMACR
Alpha-thalassemia/mental retardation syndrome	Hematological	ATRX
Alpha-thalassemia/mental retardation syndrome	Hematological	XH2
Alpha-thalassemia/mental retardation syndrome	Hematological	XNP
Alpha-thalassemia/mental retardation syndrome	Hematological	MRXS3
Alpha-thalassemia/mental retardation syndrome	Hematological	SHS
Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	ATRX
Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	XH2
Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	XNP
Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	MRXS3
Alpha-thalassemia myelodysplasia syndrome, somatic	Hematological	SHS
Alport syndrome	Renal	COL4A5
Alport syndrome	Renal	ATS
Alport syndrome	Renal	ASLN
Alport syndrome, autosomal recessive	Renal	COL4A3
Alport syndrome, autosomal recessive	Renal	COL4A4
Alstrom syndrome	Neurological	ALMS1
Alstrom syndrome	Neurological	ALSS
Alstrom syndrome	Neurological	KIAA0328
Alternating hemiplegia of childhood	Neurological	ATP1A2
Alternating hemiplegia of childhood	Neurological	FHM2
Alternating hemiplegia of childhood	Neurological	MHP2
Alveolar soft-part sarcoma	Cancer	ASPCR1
Alveolar soft-part sarcoma	Cancer	RCC17
Alveolar soft-part sarcoma	Cancer	ASPL
Alveolar soft-part sarcoma	Cancer	ASPS
Alzheimer disease-1, APP-related	Neurological	APP
Alzheimer disease-1, APP-related	Neurological	AAA
Alzheimer disease-1, APP-related	Neurological	CVAP
Alzheimer disease-1, APP-related	Neurological	AD1
Alzheimer disease-2	Neurological	APOE
Alzheimer disease-2	Neurological	AD2
Alzheimer disease-4	Neurological	PSEN2
Alzheimer disease-4	Neurological	AD4
Alzheimer disease-4	Neurological	STM2
Alzheimer disease, late-onset	Neurological	APBB2
Alzheimer disease, late-onset	Neurological	FE65L1
Alzheimer disease, late-onset, susceptibility to	Neurological	NOS3
Alzheimer disease, late-onset, susceptibility to	Neurological	PLAU
Alzheimer disease, late-onset, susceptibility to	Neurological	URK
Alzheimer disease, susceptibility to	Neurological	ACE
Alzheimer disease, susceptibility to	Neurological	DCP1
Alzheimer disease, susceptibility to	Neurological	ACE1
Alzheimer disease, susceptibility to	Neurological	MPO
Alzheimer disease, susceptibility to	Neurological	PACIP1
Alzheimer disease, susceptibility to	Neurological	PAXIP1L
Alzheimer disease, susceptibility to	Neurological	PTIP
Alzheimer disease, susceptibility to	Neurological	A2M
Alzheimer disease, susceptibility to	Neurological	BLMH
Alzheimer disease, susceptibility to	Neurological	BMH
Alzheimer disease, type 3	Neurological	PSEN1
Alzheimer disease, type 3	Neurological	AD3
Alzheimer disease, type 3, with spastic paraparesis and apraxia	Neurological	PSEN1
Alzheimer disease, type 3, with spastic paraparesis and apraxia	Neurological	AD3
Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	Neurological	PSEN1
Alzheimer disease, type 3, with spastic paraparesis and unusual plaques	Neurological	AD3
Amelogenesis imperfecta 2, hypoplastic local	Bone	ENAM
Amelogenesis imperfecta	Bone	AMELX
Amelogenesis imperfecta	Bone	AMG
Amelogenesis imperfecta	Bone	AIH1
Amelogenesis imperfecta	Bone	AMGX
Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism	Bone	DLX3
Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism	Bone	TDO
Amelogenesis imperfecta, hypoplastic, and openbite malocclusion	Bone	ENAM
Amelogenesis imperfecta, pigmented hypomaturation type	Bone	KLK4
Amelogenesis imperfecta, pigmented hypomaturation type	Bone	EMSP1
Amelogenesis imperfecta, pigmented hypomaturation type	Bone	PRSS17
Amish infantile epilepsy syndrome	Neurological	SIAT9
Amish infantile epilepsy syndrome	Neurological	ST3GALV
AMP deaminase deficiency, erythrocytic	Hematological	AMPD3
Amyloid neuropathy, familial, several allelic types	Neurological	TTR
Amyloid neuropathy, familial, several allelic types	Neurological	PALB
Amyloidosis, 3 or more types	Neurological	APOA1
Amyloidosis, cerebroarterial, Dutch type	Neurological	APP
Amyloidosis, cerebroarterial, Dutch type	Neurological	AAA
Amyloidosis, cerebroarterial, Dutch type	Neurological	CVAP
Amyloidosis, cerebroarterial, Dutch type	Neurological	AD1
Amyloidosis, Finnish type	Neurological	GSN
Amyloidosis, hereditary renal	Neurological	FGA
Amyloidosis, renal	Neurological	LYZ
Amyloidosis, senile systemic	Neurological	TTR
Amyloidosis, senile systemic	Neurological	PALB
Amyotrophic lateral sclerosis 8	Neurological	VAPB
Amyotrophic lateral sclerosis 8	Neurological	VAPC
Amyotrophic lateral sclerosis 8	Neurological	ALS8
Amyotrophic lateral sclerosis, due to SOD1 deficiency	Neurological	SOD1
Amyotrophic lateral sclerosis, due to SOD1 deficiency	Neurological	ALS1
Amyotrophic lateral sclerosis, juvenile	Neurological	ALS2
Amyotrophic lateral sclerosis, juvenile	Neurological	ALSJ
Amyotrophic lateral sclerosis, juvenile	Neurological	PLSJ
Amyotrophic lateral sclerosis, juvenile	Neurological	IAHSP
Amyotrophic lateral sclerosis, susceptibility to	Neurological	DCTN1
Amyotrophic lateral sclerosis, susceptibility to	Neurological	NEFH
Amyotrophic lateral sclerosis, susceptibility to	Neurological	PRPH
Analbuminemia	Hematological	ALB
Analgesia from kappa-opioid receptor agonist, female-specific	Unclassified	MC1R
Anderson disease	Gastrointestinal	SARA2
Anderson disease	Gastrointestinal	SAR1B
Anderson disease	Gastrointestinal	CMRD
Androgen insensitivity	Endocrine	AR
Androgen insensitivity	Endocrine	DHTR
Androgen insensitivity	Endocrine	TFM
Androgen insensitivity	Endocrine	SBMA
Androgen insensitivity	Endocrine	KD
Androgen insensitivity	Endocrine	SMAX1
Anemia, congenital dyserythropoietic, type I	Hematological	CDAN1
Anemia, congenital dyserythropoietic, type I	Hematological	CDA1
Anemia, Diamond-Blackfan	Hematological	RPS19
Anemia, Diamond-Blackfan	Hematological	DBA
Anemia, hemolytic, due to PK deficiency	Hematological	PKLR
Anemia, hemolytic, due to PK deficiency	Hematological	PK1
Anemia, hemolytic, due to UMPH1 deficiency	Hematological	NT5C3
Anemia, hemolytic, due to UMPH1 deficiency	Hematological	UMPH1
Anemia, hemolytic, due to UMPH1 deficiency	Hematological	PSN1
Anemia, hemolytic, Rh-null, regulator type	Hematological	RHAG
Anemia, hemolytic, Rh-null, regulator type	Hematological	RH50A
Anemia, hypochromic microcytic	Hematological	NRAMP2
Anemia, neonatal hemolytic, fatal and near-fatal	Hematological	SPTB
Anemia, sideroblastic/hypochromic	Hematological	ALAS2
Anemia, sideroblastic/hypochromic	Hematological	ANH1
Anemia, sideroblastic/hypochromic	Hematological	ASB
Anemia, sideroblastic, with ataxia	Hematological	ABCB7
Anemia, sideroblastic, with ataxia	Hematological	ABC7
Anemia, sideroblastic, with ataxia	Hematological	ASAT
Aneurysm, familial arterial	Unclassified	COL3A1
Angelman syndrome	Developmental	MECP2
Angelman syndrome	Developmental	RTT
Angelman syndrome	Developmental	PPMX
Angelman syndrome	Developmental	MRX16
Angelman syndrome	Developmental	MRX79
Angelman syndrome	Developmental	UBE3A
Angelman syndrome	Developmental	ANCR
Angioedema, hereditary	Immunological	C1NH
Angioedema, hereditary	Immunological	HAE1
Angioedema, hereditary	Immunological	HAE2
Angioedema, hereditary	Immunological	SERPING1
Angioedema induced by ACE inhibitors, susceptibility to	Immunological	XPNPEP2
Angiofibroma, sporadic	Endocrine	MEN1
Angiotensin I-converting enzyme, benign serum increase	Endocrine	ACE
Angiotensin I-converting enzyme, benign serum increase	Endocrine	DCP1
Angiotensin I-converting enzyme, benign serum increase	Endocrine	ACE1
Anhaptoglobinemia	Hematological	HP
Aniridia, type II	Ophthamological	PAX6
Aniridia, type II	Ophthamological	AN2
Aniridia, type II	Ophthamological	MGDA
Ankylosing spoldylitis, susceptibility to	Connective tissue	HLA-B
Anophthalmia 3	Ophthamological	SOX2
Anophthalmia 3	Ophthamological	ANOP3
Anorexia nervosa, susceptibility to	Nutritional	HTR2A
Anterior segment anomalies and cataract	Ophthamological	EYA1
Anterior segment anomalies and cataract	Ophthamological	BOR
Anterior segment mesenchymal dysgenesis	Ophthamological	FOXE3
Anterior segment mesenchymal dysgenesis	Ophthamological	FKHL12
Anterior segment mesenchymal dysgenesis	Ophthamological	ASMD
Anterior segment mesenchymal dysgenesis	Ophthamological	FOXC1
Anterior segment mesenchymal dysgenesis	Ophthamological	FKHL7
Anterior segment mesenchymal dysgenesis	Ophthamological	FREAC3
Anterior segment mesenchymal dysgenesis and cataract	Ophthamological	PITX3
Antithrombin III deficiency	Hematological	AT3
Antley-Bixler syndrome	Unclassified	POR
Anxiety-related personality traits	Psychiatric	SLC6A4
Anxiety-related personality traits	Psychiatric	HTT
Anxiety-related personality traits	Psychiatric	OCD1
Aortic aneurysm, ascending, and dissection	Cardiovascular	FBN1
Aortic aneurysm, ascending, and dissection	Cardiovascular	MFS1
Aortic aneurysm, ascending, and dissection	Cardiovascular	WMS
Apert syndrome	Connective tissue	FGFR2
Apert syndrome	Connective tissue	BEK
Apert syndrome	Connective tissue	CFD1
Apert syndrome	Connective tissue	JWS
Aplasia of lacrimal and salivary glands	Gastrointestinal	FGF10
Aplastic anemia	Hematological	IFNG
Aplastic anemia	Hematological	TERC
Aplastic anemia	Hematological	TRC3
Aplastic anemia	Hematological	TR
Aplastic anemia, susceptibility to	Hematological	TERT
Aplastic anemia, susceptibility to	Hematological	TCS1
Aplastic anemia, susceptibility to	Hematological	EST2
Apnea, postanesthetic	Unclassified	BCHE
Apnea, postanesthetic	Unclassified	CHE1
ApoA-I and apoC-III deficiency, combined	Metabolic	APOA1
Apolipoprotein A-II deficiency	Metabolic	APOA2
Apolipoprotein C3 deficiency	Metabolic	APOC3
Apolipoprotein H deficiency	Metabolic	APOH
Apparent mineralocorticoid excess, hypertension due to	Bone	HSD11B2
Apparent mineralocorticoid excess, hypertension due to	Bone	HSD11K
Aquaporin-1 deficiency	Unclassified	AQP1
Aquaporin-1 deficiency	Unclassified	CHIP28
Aquaporin-1 deficiency	Unclassified	CO
ARC syndrome	Gastrointestinal	VPS33B
Argininemia	Metabolic	ARG1
Argininosuccinic aciduria	Metabolic	ASL
Aromatase deficiency	Metabolic	CYP19A1
Aromatase deficiency	Metabolic	CYP19
Aromatase deficiency	Metabolic	ARO
Aromatic L-amino acid decarboxylase deficiency	Metabolic	DDC
Arrhythmogenic right ventricular dysplasia 2	Cardiovascular	RYR2
Arrhythmogenic right ventricular dysplasia 2	Cardiovascular	VTSIP
Arrhythmogenic right ventricular dysplasia 8	Cardiovascular	DSP
Arrhythmogenic right ventricular dysplasia 8	Cardiovascular	KPPS2
Arrhythmogenic right ventricular dysplasia 8	Cardiovascular	PPKS2
Arrhythmogenic right ventricular dysplasia, familial, 9	Cardiovascular	PKP2
Arrhythmogenic right ventricular dysplasia, familial, 9	Cardiovascular	ARVD9
Arthrogryposis multiplex congenita, distal, type 1	Developmental	TPM2
Arthrogryposis multiplex congenita, distal, type 1	Developmental	TMSB
Arthrogryposis multiplex congenita, distal, type 1	Developmental	AMCD1
Arthrogryposis multiplex congenita, distal, type 1	Developmental	DA1
Arthrogryposis multiplex congenita, distal, type 2B	Developmental	TNNI2
Arthrogryposis multiplex congenita, distal, type 2B	Developmental	AMCD2B
Arthrogryposis multiplex congenita, distal, type 2B	Developmental	DA2B
Arthrogryposis multiplex congenita, distal, type 2B	Developmental	FSSV
Arthropathy, progressive pseudorheumatoid, of childhood	Bone	WISP3
Arthropathy, progressive pseudorheumatoid, of childhood	Bone	PPAC
Arthropathy, progressive pseudorheumatoid, of childhood	Bone	PPD
Arthyrgryposis multiplex congenita, distal, type 2B	Developmental	TNNT3
Arthyrgryposis multiplex congenita, distal, type 2B	Developmental	AMCD2B
Arthyrgryposis multiplex congenita, distal, type 2B	Developmental	DA2B
Arthyrgryposis multiplex congenita, distal, type 2B	Developmental	FSSV
Aspartylglucosaminuria	Metabolic	AGA
Asperger syndrome	Psychiatric	NLGN3
Asperger syndrome	Psychiatric	NLGN4
Asperger syndrome	Psychiatric	KIAA1260
Asperger syndrome	Psychiatric	AUTSX2
Asthma	Respiratory	PHF11
Asthma	Respiratory	NYREN34
Asthma, atopic, susceptibility to	Respiratory	MS4A2
Asthma, atopic, susceptibility to	Respiratory	FCER1B
Asthma, dimished response to antileukotriene treatment in	Respiratory	ALOX5
Asthma, nocturnal, susceptibility to	Respiratory	ADRB2
Asthma, susceptibility to, 1	Respiratory	PTGDR
Asthma, susceptibility to, 1	Respiratory	AS1
Asthma, susceptibility to, 2	Respiratory	GPR154
Asthma, susceptibility to, 2	Respiratory	GPRA
Asthma, susceptibility to, 2	Respiratory	VRR1
Asthma, susceptibility to, 2	Respiratory	PGR14
Asthma, susceptibility to	Respiratory	HNMT
Asthma, susceptibility to	Respiratory	IL12B
Asthma, susceptibility to	Respiratory	NKSF2
Asthma, susceptibility to	Respiratory	IL13
Asthma, susceptibility to	Respiratory	ALRH
Asthma, susceptibility to	Respiratory	PLA2G7
Asthma, susceptibility to	Respiratory	PAFAH
Asthma, susceptibility to	Respiratory	SCGB3A2
Asthma, susceptibility to	Respiratory	UGRP1
Asthma, susceptibility to	Respiratory	TNF
Asthma, susceptibility to	Respiratory	TNFA
Asthma, susceptibility to	Respiratory	UGB
Asthma, susceptibility to	Respiratory	CC10
Asthma, susceptibility to	Respiratory	CCSP
Asthma, susceptibility to	Respiratory	SCGB1A1
Ataxia, cerebellar, Cayman type	Neurological	ATCAY
Ataxia, cerebellar, Cayman type	Neurological	CLAC
Ataxia, cerebellar, Cayman type	Neurological	KIAA1872
Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Neurological	APTX
Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Neurological	AOA
Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	Neurological	AOA1
Ataxia, episodic	Neurological	CACNB4
Ataxia, episodic	Neurological	EJM
